SID,RTms,ivec_cosine_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,1.059422,0,1,3
CMU_13,489,0.981999,0,1,3
CMU_13,288,1.020667,0,1,3
CMU_13,548,1.017691,0,1,3
CMU_13,325,0.995904,0,1,3
CMU_13,437,1.058828,0,1,3
CMU_13,-5808,0.648251,1,1,0
CMU_13,360,1.054271,0,1,3
CMU_13,776,0.936656,0,1,3
CMU_13,612,1.053416,0,1,3
CMU_13,-5582,0.683995,1,1,0
CMU_13,-70,NaN,0,0,1
CMU_13,339,1.056237,0,1,3
CMU_13,536,1.048136,0,1,3
CMU_13,442,0.876977,0,1,3
CMU_13,534,1.060868,0,1,3
CMU_13,582,0.941115,0,1,3
CMU_13,458,1.161350,0,1,3
CMU_13,663,1.065012,0,1,3
CMU_13,-6539,0.692981,1,1,0
CMU_13,532,0.847443,0,1,3
CMU_13,-5903,0.937953,1,1,0
CMU_13,353,0.962312,0,1,3
CMU_13,359,1.105084,0,1,3
CMU_13,375,1.208528,0,1,3
CMU_13,629,1.153207,0,1,3
CMU_13,778,0.953450,0,1,3
CMU_13,205,0.945691,0,0,1
CMU_13,653,1.045591,0,1,3
CMU_13,396,0.985211,0,1,3
CMU_13,376,1.128801,0,1,3
CMU_13,-6169,0.736783,1,1,0
CMU_13,648,1.098148,0,1,3
CMU_13,-6076,0.723478,1,1,0
CMU_13,685,0.912986,1,0,1
CMU_13,334,0.925951,0,1,3
CMU_13,826,0.967194,0,1,3
CMU_13,321,0.976506,0,1,3
CMU_13,81,0.906644,1,0,1
CMU_13,364,0.826405,0,1,3
CMU_13,444,1.122698,0,1,3
CMU_13,378,0.893441,0,1,3
CMU_13,221,1.035534,0,0,1
CMU_13,285,0.989775,0,1,3
CMU_13,645,0.980835,0,1,3
CMU_13,-6529,0.892217,1,1,0
CMU_13,482,0.930307,0,1,3
CMU_13,442,0.889335,0,1,3
CMU_13,-4485,NaN,1,0,1
CMU_13,299,1.186533,0,1,3
CMU_13,266,0.943387,0,1,3
CMU_13,1120,0.860469,0,1,3
CMU_13,391,0.984529,0,1,3
CMU_13,423,1.128678,0,1,3
CMU_13,546,0.816097,1,0,1
CMU_13,609,0.958975,0,1,3
CMU_13,682,0.819331,0,1,3
CMU_13,400,1.010597,0,1,3
CMU_13,500,0.884906,0,1,3
CMU_13,406,1.065557,0,1,3
CMU_13,471,1.048469,0,1,3
CMU_13,627,1.032955,0,1,3
CMU_13,-5637,0.611268,1,1,0
CMU_13,427,1.072883,0,1,3
CMU_13,-5747,0.632946,1,1,0
CMU_13,566,1.012333,0,1,3
CMU_13,609,0.962769,0,1,3
CMU_13,322,1.095567,0,1,3
CMU_13,325,1.042524,0,1,3
