SID,RTms,corti_avg_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,0.204198,0,1,3
CMU_13,489,0.230793,0,1,3
CMU_13,288,0.217712,0,1,3
CMU_13,548,0.203937,0,1,3
CMU_13,325,0.167818,0,1,3
CMU_13,437,0.349931,0,1,3
CMU_13,-5808,1000.000000,1,1,0
CMU_13,360,0.320101,0,1,3
CMU_13,776,0.056658,0,1,3
CMU_13,612,0.191381,0,1,3
CMU_13,-5582,1000.000000,1,1,0
CMU_13,-70,1000.000000,0,0,1
CMU_13,339,0.222507,0,1,3
CMU_13,536,0.177544,0,1,3
CMU_13,442,0.266627,0,1,3
CMU_13,534,0.367157,0,1,3
CMU_13,582,0.322386,0,1,3
CMU_13,458,0.219204,0,1,3
CMU_13,663,0.204756,0,1,3
CMU_13,-6539,1000.000000,1,1,0
CMU_13,532,0.244059,0,1,3
CMU_13,-5903,1000.000000,1,1,0
CMU_13,353,0.393933,0,1,3
CMU_13,359,0.220807,0,1,3
CMU_13,375,0.077720,0,1,3
CMU_13,629,0.131298,0,1,3
CMU_13,778,0.157266,0,1,3
CMU_13,205,1000.000000,0,0,1
CMU_13,653,0.253565,0,1,3
CMU_13,396,0.217627,0,1,3
CMU_13,376,0.124359,0,1,3
CMU_13,-6169,1000.000000,1,1,0
CMU_13,648,0.235003,0,1,3
CMU_13,-6076,1000.000000,1,1,0
CMU_13,685,0.066439,1,0,1
CMU_13,334,0.299277,0,1,3
CMU_13,826,0.212966,0,1,3
CMU_13,321,0.088210,0,1,3
CMU_13,81,1000.000000,1,0,1
CMU_13,364,0.236955,0,1,3
CMU_13,444,0.232323,0,1,3
CMU_13,378,0.228337,0,1,3
CMU_13,221,1000.000000,0,0,1
CMU_13,285,0.157203,0,1,3
CMU_13,645,0.149834,0,1,3
CMU_13,-6529,1000.000000,1,1,0
CMU_13,482,0.114007,0,1,3
CMU_13,442,0.322131,0,1,3
CMU_13,-4485,1000.000000,1,0,1
CMU_13,299,0.174329,0,1,3
CMU_13,266,0.254523,0,1,3
CMU_13,1120,0.057918,0,1,3
CMU_13,391,0.102339,0,1,3
CMU_13,423,0.195748,0,1,3
CMU_13,546,0.143461,1,0,1
CMU_13,609,0.071971,0,1,3
CMU_13,682,0.359024,0,1,3
CMU_13,400,0.290502,0,1,3
CMU_13,500,0.212695,0,1,3
CMU_13,406,0.219829,0,1,3
CMU_13,471,0.150243,0,1,3
CMU_13,627,0.098007,0,1,3
CMU_13,-5637,1000.000000,1,1,0
CMU_13,427,0.318761,0,1,3
CMU_13,-5747,1000.000000,1,1,0
CMU_13,566,0.081091,0,1,3
CMU_13,609,0.182554,0,1,3
CMU_13,322,0.096952,0,1,3
CMU_13,325,0.081011,0,1,3
CMU_13,283,0.200141,0,1,3
CMU_13,380,0.075302,0,1,3
CMU_13,365,0.224788,0,1,3
CMU_13,737,0.175377,0,1,3
CMU_13,549,0.184661,0,1,3
CMU_13,466,0.181403,0,1,3
CMU_13,-7141,1000.000000,1,1,0
CMU_13,373,0.183394,1,0,1
CMU_13,446,0.179469,0,1,3
CMU_13,-5499,1000.000000,1,1,0
CMU_13,613,0.118365,0,1,3
CMU_13,297,0.181246,0,1,3
CMU_13,326,0.278170,0,1,3
CMU_13,293,0.159091,0,1,3
CMU_13,484,0.245365,0,1,3
CMU_13,540,0.231423,0,1,3
CMU_13,343,0.157576,0,1,3
CMU_13,265,0.273362,1,0,1
CMU_13,644,0.147635,0,1,3
CMU_13,655,0.110039,0,1,3
CMU_13,-126,1000.000000,1,0,1
