SID,RTms,fbank_likelihood_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,17.949933,0,1,3
CMU_13,489,18.590154,0,1,3
CMU_13,288,17.558613,0,1,3
CMU_13,548,17.222867,0,1,3
CMU_13,325,16.578947,0,1,3
CMU_13,437,17.621713,0,1,3
CMU_13,-5808,1000.000000,1,1,0
CMU_13,360,16.329115,0,1,3
CMU_13,776,17.634988,0,1,3
CMU_13,612,18.280095,0,1,3
CMU_13,-5582,1000.000000,1,1,0
CMU_13,-70,1000.000000,0,0,1
CMU_13,339,16.105314,0,1,3
CMU_13,536,17.938665,0,1,3
CMU_13,442,19.341214,0,1,3
CMU_13,534,17.546366,0,1,3
CMU_13,582,17.436487,0,1,3
CMU_13,458,17.600248,0,1,3
CMU_13,663,18.235644,0,1,3
CMU_13,-6539,1000.000000,1,1,0
CMU_13,532,18.756893,0,1,3
CMU_13,-5903,1000.000000,1,1,0
CMU_13,353,18.809908,0,1,3
CMU_13,359,17.273124,0,1,3
CMU_13,375,16.006171,0,1,3
CMU_13,629,17.514762,0,1,3
CMU_13,778,18.799501,0,1,3
CMU_13,205,1000.000000,0,0,1
CMU_13,653,18.845078,0,1,3
CMU_13,396,18.653602,0,1,3
CMU_13,376,17.320864,0,1,3
CMU_13,-6169,1000.000000,1,1,0
CMU_13,648,18.793445,0,1,3
CMU_13,-6076,1000.000000,1,1,0
CMU_13,685,17.359148,1,0,1
CMU_13,334,16.345431,0,1,3
CMU_13,826,18.662108,0,1,3
CMU_13,321,19.325967,0,1,3
CMU_13,81,1000.000000,1,0,1
CMU_13,364,17.102980,0,1,3
CMU_13,444,17.705386,0,1,3
CMU_13,378,18.313333,0,1,3
CMU_13,221,1000.000000,0,0,1
CMU_13,285,15.634305,0,1,3
CMU_13,645,17.421580,0,1,3
CMU_13,-6529,1000.000000,1,1,0
CMU_13,482,19.303276,0,1,3
CMU_13,442,16.727101,0,1,3
CMU_13,-4485,1000.000000,1,0,1
CMU_13,299,16.297165,0,1,3
CMU_13,266,16.706535,0,1,3
CMU_13,1120,18.834654,0,1,3
CMU_13,391,18.144175,0,1,3
CMU_13,423,17.700741,0,1,3
CMU_13,546,21.934068,1,0,1
CMU_13,609,17.820552,0,1,3
CMU_13,682,18.281610,0,1,3
CMU_13,400,17.274417,0,1,3
CMU_13,500,17.209495,0,1,3
CMU_13,406,17.968982,0,1,3
CMU_13,471,16.710310,0,1,3
CMU_13,627,17.619665,0,1,3
CMU_13,-5637,1000.000000,1,1,0
