SID,RTms,engy_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,1.459162,0,1,3
CMU_13,489,3.862634,0,1,3
CMU_13,288,6.156524,0,1,3
CMU_13,548,7.569174,0,1,3
CMU_13,325,21.490065,0,1,3
CMU_13,437,3.238785,0,1,3
CMU_13,-5808,0.000000,1,1,0
CMU_13,360,1.431358,0,1,3
CMU_13,776,11.843417,0,1,3
CMU_13,612,4.559276,0,1,3
CMU_13,-5582,0.000000,1,1,0
CMU_13,-70,20.968817,0,0,1
CMU_13,339,7.109165,0,1,3
CMU_13,536,6.725245,0,1,3
CMU_13,442,5.566976,0,1,3
CMU_13,534,0.718415,0,1,3
CMU_13,582,4.535607,0,1,3
CMU_13,458,5.455567,0,1,3
CMU_13,663,2.332256,0,1,3
CMU_13,-6539,0.000000,1,1,0
CMU_13,532,10.793614,0,1,3
CMU_13,-5903,0.000000,1,1,0
CMU_13,353,9.620192,0,1,3
CMU_13,359,7.534374,0,1,3
CMU_13,375,14.341444,0,1,3
CMU_13,629,11.031875,0,1,3
CMU_13,778,9.077496,0,1,3
CMU_13,205,11.529276,0,0,1
CMU_13,653,8.309489,0,1,3
CMU_13,396,6.589947,0,1,3
CMU_13,376,8.635538,0,1,3
CMU_13,-6169,0.000000,1,1,0
CMU_13,648,8.665831,0,1,3
CMU_13,-6076,0.000000,1,1,0
CMU_13,685,14.730962,1,0,1
CMU_13,334,2.294715,0,1,3
CMU_13,826,0.207270,0,1,3
CMU_13,321,17.218466,0,1,3
CMU_13,81,15.660376,1,0,1
CMU_13,364,2.765491,0,1,3
CMU_13,444,18.634035,0,1,3
CMU_13,378,13.776934,0,1,3
CMU_13,221,31.890416,0,0,1
CMU_13,285,12.907682,0,1,3
CMU_13,645,17.310236,0,1,3
CMU_13,-6529,0.000000,1,1,0
CMU_13,482,27.247696,0,1,3
CMU_13,442,16.308592,0,1,3
CMU_13,-4485,30.605393,1,0,1
CMU_13,299,11.415509,0,1,3
CMU_13,266,22.493446,0,1,3
CMU_13,1120,11.984709,0,1,3
CMU_13,391,27.498721,0,1,3
CMU_13,423,13.608676,0,1,3
CMU_13,546,20.447963,1,0,1
CMU_13,609,28.866707,0,1,3
CMU_13,682,3.968981,0,1,3
CMU_13,400,7.832031,0,1,3
CMU_13,500,8.617698,0,1,3
CMU_13,406,9.810576,0,1,3
CMU_13,471,14.363083,0,1,3
CMU_13,627,23.808721,0,1,3
CMU_13,-5637,0.000000,1,1,0
CMU_13,427,6.131518,0,1,3
CMU_13,-5747,0.000000,1,1,0
CMU_13,566,20.711185,0,1,3
CMU_13,609,21.487031,0,1,3
CMU_13,322,15.350207,0,1,3
CMU_13,325,26.386225,0,1,3
CMU_13,283,14.256733,0,1,3
CMU_13,380,13.215108,0,1,3
CMU_13,365,6.463167,0,1,3
CMU_13,737,9.134403,0,1,3
CMU_13,549,7.233575,0,1,3
CMU_13,466,14.975944,0,1,3
CMU_13,-7141,0.000000,1,1,0
CMU_13,373,25.710675,1,0,1
CMU_13,446,16.950793,0,1,3
CMU_13,-5499,0.000000,1,1,0
CMU_13,613,16.224930,0,1,3
CMU_13,297,26.091169,0,1,3
CMU_13,326,16.991004,0,1,3
CMU_13,293,16.681733,0,1,3
CMU_13,484,21.776755,0,1,3
CMU_13,540,18.321652,0,1,3
CMU_13,343,24.506332,0,1,3
CMU_13,265,15.945659,1,0,1
CMU_13,644,32.928366,0,1,3
CMU_13,655,44.046083,0,1,3
CMU_13,-126,53.875722,1,0,1
CMU_13,373,32.995632,0,1,3
CMU_13,813,50.097606,0,1,3
CMU_13,402,44.557682,0,1,3
CMU_13,222,50.826252,0,0,1
CMU_13,371,26.269025,0,1,3
CMU_13,643,13.808501,0,1,3
CMU_13,485,16.931891,1,0,1
CMU_13,339,26.034614,0,1,3
CMU_13,446,32.467964,0,1,3
CMU_13,415,31.170540,0,1,3
CMU_13,368,28.459332,0,1,3
CMU_13,595,18.460501,0,1,3
CMU_13,345,25.053744,0,1,3
CMU_13,-5878,0.000000,1,1,0
CMU_13,784,6.204026,0,1,3
CMU_13,381,12.753280,0,1,3
CMU_13,139,26.400655,0,0,1
CMU_13,836,15.837898,0,1,3
CMU_13,374,29.506062,0,1,3
CMU_13,380,12.904578,0,1,3
CMU_13,591,26.608433,0,1,3
CMU_13,287,22.081681,1,0,1
CMU_13,472,6.972253,1,0,1
CMU_13,648,14.274142,0,1,3
CMU_13,726,8.167717,0,1,3
CMU_13,617,16.587300,0,1,3
CMU_13,258,22.189772,0,1,3
CMU_13,696,27.948062,0,1,3
CMU_13,313,16.929510,1,0,1
